stamp;x;y;z
07/11/2020 12.26.29;-1,1647792;3,5541923;9,860519
07/11/2020 12.26.29;-2,396596;2,6264393;9,068039
07/11/2020 12.26.29;-2,7629087;1,1492168;4,8482585
07/11/2020 12.26.30;3,122039;2,7928362;9,961076
07/11/2020 12.26.30;3,4320881;1,1731589;7,171831
07/11/2020 12.26.30;-1,3215994;1,6950948;8,465898
07/11/2020 12.26.30;7,121553;6,6367273;5,258864
07/11/2020 12.26.30;4,5178585;4,4400473;8,385692
07/11/2020 12.26.31;1,0043676;2,086547;10,505757
07/11/2020 12.26.31;1,6376339;2,0745757;10,381259
07/11/2020 12.26.31;1,6675615;1,934515;10,419566
07/11/2020 12.26.31;1,8339585;2,348712;9,4295635
07/11/2020 12.26.31;0,91458505;1,9165585;10,116699
07/11/2020 12.26.32;1,3192052;1,922544;9,947908
07/11/2020 12.26.32;1,5394717;0,9708488;8,541314
07/11/2020 12.26.32;2,873042;3,4249055;12,294226
07/11/2020 12.26.32;3,6834793;2,6384103;10,809821
07/11/2020 12.26.32;4,4783545;1,6795325;10,778696
07/11/2020 12.26.32;0,12928689;1,520318;9,246407
07/11/2020 12.26.33;-0,08379706;1,6519991;10,491392
07/11/2020 12.26.33;4,8877625;2,6372132;9,412804
07/11/2020 12.26.33;6,537368;1,4664485;8,401254
07/11/2020 12.26.33;11,554418;-0,2885013;9,987412
07/11/2020 12.26.33;-1,9847932;-4,453215;5,8801594
07/11/2020 12.26.34;8,215703;-9,940725;6,2620344
07/11/2020 12.26.34;5,046977;-11,208455;34,621353
07/11/2020 12.26.34;7,2089415;-5,088876;20,275297
07/11/2020 12.26.34;6,2345014;-5,112818;0,9935937
07/11/2020 12.26.34;2,7006595;-3,8510735;-1,9189527
07/11/2020 12.26.35;1,4544775;-1,5993267;10,675745
07/11/2020 12.26.35;1,2258313;-0,7757214;10,874464
07/11/2020 12.26.35;-1,5275006;-1,1468226;9,425972
07/11/2020 12.26.35;0,46208093;-1,1815386;10,952275
07/11/2020 12.26.35;2,4959552;0,80684596;10,14543
07/11/2020 12.26.36;0,1316811;-0,80445176;10,518925
07/11/2020 12.26.36;1,5478514;0,5554548;1,5885528
07/11/2020 12.26.36;-1,7405846;-3,66672;10,065224
07/11/2020 12.26.36;-6,0405707;-0,878672;15,190013
07/11/2020 12.26.36;0,8403648;0,15801731;10,18254
07/11/2020 12.26.36;-0,08499416;-0,5494693;10,415975
07/11/2020 12.26.37;2,5582044;-1,7405846;7,0449386
07/11/2020 12.26.37;-0,61650693;-0,16280572;7,406463
07/11/2020 12.26.37;0,016759412;-0,2873042;10,530896
07/11/2020 12.26.47;-0,7613561;-0,94092125;8,961497
07/11/2020 12.26.47;-0,08619126;-0,4201824;10,517728
07/11/2020 12.26.47;-0,17836803;-0,40821138;10,66976
07/11/2020 12.26.47;-0,25498247;-0,427365;10,199299
07/11/2020 12.26.47;-0,30047232;-0,39983168;10,332177
07/11/2020 12.26.47;-0,58538234;-0,36391866;10,463859
07/11/2020 12.26.47;-0,6619968;-0,15322891;11,164163
07/11/2020 12.26.47;-1,0199299;-0,06703765;8,513782
07/11/2020 12.26.47;3,7672763;-11,310209;12,580333
07/11/2020 12.26.47;-1,9488802;-11,320983;5,57849
07/11/2020 12.26.47;-0,8714894;-1,4532804;5,6359506
07/11/2020 12.26.47;19,005173;-12,668919;6,71813
07/11/2020 12.26.47;-0,6452374;-5,840655;9,909601
07/11/2020 12.26.47;0,08259996;-4,1216183;9,683349
07/11/2020 12.26.47;0,4141969;-2,1272483;10,830172
07/11/2020 12.26.47;-5,2684407;0,14963761;10,263943
07/11/2020 12.26.47;-4,015076;-0,3878607;8,704121
07/11/2020 12.26.47;-4,3993454;-0,7398083;9,345766
07/11/2020 12.26.47;-3,8714242;-0,39384618;9,264363
07/11/2020 12.26.47;-4,0019083;-0,6464345;9,721656
07/11/2020 12.26.47;-3,728969;-0,736217;9,440337
07/11/2020 12.26.47;-4,2521024;-0,6368576;9,2907
07/11/2020 12.26.47;-3,7134068;-0,22984336;9,087193
07/11/2020 12.26.47;-4,370615;-0,48602295;9,55047
07/11/2020 12.26.47;-1,1695676;1,5023615;5,518635
07/11/2020 12.26.47;0,3878607;-10,636241;18,600554
07/11/2020 12.26.47;-0,2908955;-3,2429461;6,0489507
07/11/2020 12.26.47;-1,7166426;-4,751293;7,4687123
07/11/2020 12.26.47;-4,7309427;-6,9228344;8,8884735
07/11/2020 12.26.47;-1,5622166;-4,498705;7,890092
07/11/2020 12.26.47;-0,30645782;-1,7561469;1,8938135
07/11/2020 12.26.47;-1,4089876;-17,423803;6,667852
07/11/2020 12.26.47;-1,8088194;-7,0844426;7,4447703
