stamp;x;y;z
07/11/2020 12.26.29;-0,74675035;0,39734364;-0,23542345
07/11/2020 12.26.29;1,8940402;-1,9462382;0,87564737
07/11/2020 12.26.30;1,1867046;-1,3965617;1,164334
07/11/2020 12.26.30;-0,037284255;-0,46019423;0,13848437
07/11/2020 12.26.30;-0,6061355;0,24181503;-0,4250405
07/11/2020 12.26.30;1,135572;-1,067395;0,7414241
07/11/2020 12.26.30;-1,5425029;0,9672601;0,25033715
07/11/2020 12.26.31;-0,28549087;0,026631612;-0,23009712
07/11/2020 12.26.31;-0,19920446;0,21731395;0,38562572
07/11/2020 12.26.31;0,04474111;0,18109496;0,082025364
07/11/2020 12.26.31;0,0479369;-0,099069595;0,056459017
07/11/2020 12.26.31;0,046871636;0,05219796;0,017044231
07/11/2020 12.26.32;-0,0628506;-0,033023197;0,035153728
07/11/2020 12.26.32;0,07350325;-0,3089267;-0,1107875
07/11/2020 12.26.32;-0,46658584;0,07563378;-0,1736381
07/11/2020 12.26.32;-0,25672874;-0,49321744;0,8863
07/11/2020 12.26.32;0,30040458;0,25353295;0,84581995
07/11/2020 12.26.32;0,3153183;0,09054748;0,34621096
07/11/2020 12.26.33;0,15020229;-0,16192019;0,24501082
07/11/2020 12.26.33;0,46019423;-1,1430287;1,7555559
07/11/2020 12.26.33;-1,0162623;-1,1110709;3,5750275
07/11/2020 12.26.33;-1,8588865;0,24927188;0,024501082
07/11/2020 12.26.33;1,3667343;-0,18322548;-0,3057309
07/11/2020 12.26.34;-2,7537086;-0,10013486;3,536678
07/11/2020 12.26.34;0,6593987;-0,5699165;2,014415
07/11/2020 12.26.34;-0,8159926;-3,444;-0,45593318
07/11/2020 12.26.34;1,7310548;4,7585363;-2,9348035
07/11/2020 12.26.34;-2,7941887;14,751782;0,3930826
07/11/2020 12.26.35;0,63702816;-0,3270362;0,041545313
07/11/2020 12.26.35;-0,04474111;0,25033715;0,007456851
07/11/2020 12.26.35;0,62531024;0,03195793;1,1291803
07/11/2020 12.26.35;0,020240024;-0,3717773;-0,1107875
07/11/2020 12.26.35;-0,32384038;-0,099069595;0,4048005
07/11/2020 12.26.36;0,06178534;-0,20985709;0,0053263223
07/11/2020 12.26.36;0,017044231;0,8202536;1,1835088
07/11/2020 12.26.36;-0,26312032;1,3859091;-0,7222493
07/11/2020 12.26.36;1,0823087;-2,9348035;2,3755398
07/11/2020 12.26.36;-0,10865697;-0,12996227;0,051132694
07/11/2020 12.26.36;0,037284255;0,18535602;0,002130529
07/11/2020 12.26.37;0,8309063;0,6956177;1,8258632
07/11/2020 12.26.37;-1,180313;-0,16937704;-0,018109497
07/11/2020 12.26.37;-0,010652645;0,037284255;0,03089267
07/11/2020 12.26.47;-0,03834952;-0,015978966;0,01917476
07/11/2020 12.26.47;0,0063915867;-0,020240024;0,0479369
07/11/2020 12.26.47;-0,07989483;-0,015978966;-0,015978966
07/11/2020 12.29.53;0,1949434;-0,024501082;0,10865697
07/11/2020 12.29.53;0,13422333;-0,02876214;0,12357068
07/11/2020 12.29.53;-0,23861924;-0,00958738;-0,09267801
07/11/2020 12.29.53;0,10865697;-0,018109497;0,05752428
07/11/2020 12.30.40;-0,007456851;-0,02130529;0,05006743
07/11/2020 12.30.40;-0,0010652645;-0,02130529;0,04261058
07/11/2020 12.30.40;0,23329292;-0,023435818;0,12037488
07/11/2020 12.30.40;-0,13954964;-0,025566347;-0,066046394
07/11/2020 12.30.40;-0,21092236;0,011717909;-0,14274544
07/11/2020 12.30.41;-0,027696876;0,017044231;-0,008522116
07/11/2020 12.30.41;0,16831179;-0,0010652645;0,10865697
07/11/2020 12.30.41;-0,03195793;-0,027696876;-0,010652645
07/11/2020 12.30.41;0,13102753;-0,039414786;0,09054748
07/11/2020 12.30.41;-0,043675844;-0,026631612;0,036218993
07/11/2020 12.30.41;0,14913702;-0,0031957934;0,12037488
07/11/2020 12.30.42;-0,221575;-0,039414786;-0,11824436
07/11/2020 12.30.42;-0,3121225;-0,023435818;-0,17896444
07/11/2020 12.30.42;-0,36218992;0,029827405;-0,2066613
07/11/2020 12.30.42;-0,034088463;-0,0031957934;-0,0031957934
07/11/2020 12.30.42;0,28336033;-0,027696876;0,1736381
07/11/2020 12.30.43;0,4165184;-0,018109497;0,2545982
07/11/2020 12.30.43;0,15020229;-0,036218993;0,13209279
07/11/2020 12.30.43;0,07456851;-0,013848438;0,08628642
